Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price
2023-09-08,177914065,20,False,False,,28.290855,2939894,0.4675,hold,,,0.0,,,0,0.0,31.853479,2974304,0.5325,hold,,,0.0,,,0,0.0
2023-09-11,181216536,20,False,False,,28.652498,2939894,0.4648,hold,,,0.0,,,0,0.0,32.606354,2974304,0.5352,hold,,,0.0,,,0,0.0
2023-09-12,178117449,20,False,False,,28.329958,2939894,0.4676,hold,,,0.0,,,0,0.0,31.883209,2974304,0.5324,hold,,,0.0,,,0,0.0
2023-09-13,179010959,20,False,False,,28.398371,2939894,0.4664,hold,,,0.0,,,0,0.0,32.115997,2974304,0.5336,hold,,,0.0,,,0,0.0
2023-09-14,181907622,20,False,False,,28.867525,2939894,0.4665,hold,,,0.0,,,0,0.0,32.626167,2974304,0.5335,hold,,,0.0,,,0,0.0
2023-09-15,176435630,20,False,False,,28.163797,2939894,0.4693,hold,,,0.0,,,0,0.0,31.481998,2974304,0.5307,hold,,,0.0,,,0,0.0
2023-09-18,176771929,20,False,False,,28.198006,2939894,0.469,hold,,,0.0,,,0,0.0,31.561253,2974304,0.531,hold,,,0.0,,,0,0.0
2023-09-19,176014603,20,False,False,,28.080719,2939894,0.469,hold,,,0.0,,,0,0.0,31.42256,2974304,0.531,hold,,,0.0,,,0,0.0
2023-09-20,171947234,20,False,False,,27.533375,2939894,0.4708,hold,,,0.0,,,0,0.0,30.596069,2974304,0.5292,hold,,,0.0,,,0,0.0
2023-09-21,165875899,20,False,False,,26.639048,2939894,0.4721,hold,,,0.0,,,0,0.0,29.438787,2974304,0.5279,hold,,,0.0,,,0,0.0
