Date,equity,cash,is_month_start,rebalanced,rebalance_reason,sso_close,sso_shares,sso_weight,sso_signal_today,sso_pending_intent,sso_pending_reason,sso_pending_delta,sso_executed_intent,sso_exec_side,sso_exec_shares,sso_exec_price,qld_close,qld_shares,qld_weight,qld_signal_today,qld_pending_intent,qld_pending_reason,qld_pending_delta,qld_executed_intent,qld_exec_side,qld_exec_shares,qld_exec_price,ugl_close,ugl_shares,ugl_weight,ugl_signal_today,ugl_pending_intent,ugl_pending_reason,ugl_pending_delta,ugl_executed_intent,ugl_exec_side,ugl_exec_shares,ugl_exec_price,ubt_close,ubt_shares,ubt_weight,ubt_signal_today,ubt_pending_intent,ubt_pending_reason,ubt_pending_delta,ubt_executed_intent,ubt_exec_side,ubt_exec_shares,ubt_exec_price
2019-05-15,40264623,18,False,False,,14.357358,967707,0.3451,hold,,,0.0,,,0,0.0,11.419894,1234270,0.3501,hold,,,0.0,,,0,0.0,9.3075,652535,0.1508,hold,,,0.0,,,0,0.0,36.066982,171963,0.154,hold,,,0.0,,,0,0.0
2019-05-16,40670223,18,False,False,,14.625335,967707,0.348,hold,,,0.0,,,0,0.0,11.651947,1234270,0.3536,hold,,,0.0,,,0,0.0,9.1675,652535,0.1471,hold,,,0.0,,,0,0.0,35.783295,171963,0.1513,hold,,,0.0,,,0,0.0
2019-05-17,40145816,18,False,False,,14.441856,967707,0.3481,hold,,,0.0,,,0,0.0,11.413721,1234270,0.3509,hold,,,0.0,,,0,0.0,9.0325,652535,0.1468,hold,,,0.0,,,0,0.0,35.988422,171963,0.1542,hold,,,0.0,,,0,0.0
2019-05-20,39473616,18,False,False,,14.252338,967707,0.3494,hold,,,0.0,,,0,0.0,11.037258,1234270,0.3451,hold,,,0.0,,,0,0.0,9.03,652535,0.1493,hold,,,0.0,,,0,0.0,35.857498,171963,0.1562,hold,,,0.0,,,0,0.0
2019-05-21,39925561,18,False,False,,14.497382,967707,0.3514,hold,,,0.0,,,0,0.0,11.258198,1234270,0.348,hold,,,0.0,,,0,0.0,8.985,652535,0.1468,hold,,,0.0,,,0,0.0,35.691643,171963,0.1537,hold,,,0.0,,,0,0.0
2019-05-22,39781308,18,False,False,,14.41409,967707,0.3506,hold,,,0.0,,,0,0.0,11.15822,1234270,0.3462,hold,,,0.0,,,0,0.0,8.965,652535,0.1471,hold,,,0.0,,,0,0.0,36.114986,171963,0.1561,hold,,,0.0,,,0,0.0
2019-05-23,39238480,18,False,False,,14.059202,967707,0.3467,hold,,,0.0,,,0,0.0,10.811377,1234270,0.3401,hold,,,0.0,,,0,0.0,9.105,652535,0.1514,hold,,,0.0,,,0,0.0,36.913662,171963,0.1618,hold,,,0.0,,,0,0.0
2019-05-24,39285386,18,False,False,,14.108693,967707,0.3475,hold,,,0.0,,,0,0.0,10.796567,1234270,0.3392,hold,,,0.0,,,0,0.0,9.12,652535,0.1515,hold,,,0.0,,,0,0.0,36.957306,171963,0.1618,hold,,,0.0,,,0,0.0
2019-05-28,38977597,18,False,False,,13.846751,967707,0.3438,hold,,,0.0,,,0,0.0,10.715101,1234270,0.3393,hold,,,0.0,,,0,0.0,9.0425,652535,0.1514,hold,,,0.0,,,0,0.0,37.520313,171963,0.1655,hold,,,0.0,,,0,0.0
2019-05-29,38630996,18,False,False,,13.668099,967707,0.3424,hold,,,0.0,,,0,0.0,10.54353,1234270,0.3369,hold,,,0.0,,,0,0.0,9.0525,652535,0.1529,hold,,,0.0,,,0,0.0,37.703613,171963,0.1678,hold,,,0.0,,,0,0.0
