a,b,rmse_pct
-6.6,0.13,3.9441
-6.3,0.61,3.9441
-5.5,0.29,3.9481
-9.75,1.25,3.9514
-8.75,1.1,3.9563
-5.4,0.21,3.9652
-9.25,1.1,3.9757
-6.75,0.23,3.9772
-6.45,0.65,3.9878
-5.8,0.45,3.9881
-8.5,0.9,3.9922
-6.55,0.07,3.9942
-5.85,0.47,3.9946
-6.7,0.19,3.997
-10.0,1.3,3.9979
-6.6,0.11,4.0046
-6.15,0.57,4.0051
-6.65,0.15,4.0058
-5.75,0.43,4.0118
-8.0,0.75,4.0278
-5.9,0.49,4.0313
-9.0,1.15,4.0319
-9.5,1.15,4.0421
-6.55,0.05,4.0465
-6.5,0.0,4.047
-6.75,0.21,4.0507
-5.55,0.33,4.0554
-5.3,0.11,4.0562
-6.25,0.6,4.0569
-6.6,0.09,4.0612
-5.35,0.17,4.0617
-6.7,0.17,4.0642
-5.7,0.41,4.0656
-6.65,0.13,4.0674
-6.75,0.2,4.0855
-5.5,0.3,4.0898
-7.0,0.35,4.0963
-9.75,1.2,4.0964
-5.95,0.51,4.0979
-9.25,1.2,4.099
-8.75,0.95,4.1129
-6.6,0.07,4.1143
-6.75,0.19,4.1192
-6.65,0.11,4.125
-5.25,0.05,4.1261
-5.25,0.05,4.1261
-6.7,0.15,4.1269
-10.0,1.25,4.1406
-5.65,0.39,4.1488
-9.5,1.25,4.1586
-7.75,0.65,4.1633
-6.6,0.05,4.1641
-6.35,0.63,4.1641
-5.45,0.27,4.1706
-5.4,0.23,4.177
-6.65,0.09,4.1789
-6.2,0.59,4.182
-6.75,0.17,4.1831
-6.7,0.13,4.1855
-6.0,0.53,4.1938
-5.3,0.13,4.2019
-7.25,0.45,4.2044
-8.25,0.8,4.2051
-9.0,1.0,4.2111
-9.75,1.3,4.2118
-7.5,0.55,4.2254
-6.65,0.07,4.2294
-5.5,0.31,4.2401
-6.7,0.11,4.2403
-6.75,0.15,4.2427
-6.75,0.15,4.2427
-5.35,0.19,4.2454
-5.25,0.07,4.2459
-10.0,1.35,4.2599
-5.6,0.37,4.2609
-6.65,0.05,4.2768
-9.25,1.05,4.2909
-6.7,0.09,4.2916
-6.75,0.13,4.2984
-7.0,0.3,4.3057
-6.05,0.55,4.3184
-6.7,0.07,4.3397
-8.5,0.85,4.349
-6.75,0.11,4.3506
-9.5,1.1,4.3555
-5.3,0.15,4.3641
-8.0,0.7,4.3731
-6.75,0.1,4.3754
-5.25,0.09,4.3781
-6.25,0.61,4.3836
-6.7,0.05,4.3847
-6.75,0.09,4.3993
-5.55,0.35,4.401
-6.4,0.65,4.4062
-9.75,1.15,4.4078
-5.4,0.25,4.4151
-7.25,0.4,4.4419
-6.75,0.07,4.4451
-5.45,0.29,4.4492
-5.25,0.1,4.4492
-10.0,1.2,4.4498
-5.35,0.21,4.4512
-8.75,0.9,4.4659
-6.1,0.57,4.4708
-7.75,0.6,4.473
-7.0,0.25,4.4801
-6.75,0.05,4.488
-6.75,0.05,4.488
-5.75,0.45,4.4932
-5.75,0.45,4.4932
-5.8,0.47,4.4961
-7.5,0.5,4.4969
-5.7,0.43,4.5214
-5.25,0.11,4.5239
-5.85,0.49,4.5299
-8.25,0.75,4.5433
-5.3,0.17,4.5446
-9.0,0.95,4.5607
-5.5,0.33,4.5681
-5.65,0.41,4.5802
-6.75,0.0,4.5842
-5.9,0.51,4.5945
-6.3,0.63,4.6094
-7.0,0.2,4.6258
-9.25,1.0,4.6375
-7.25,0.35,4.6391
-6.15,0.59,4.6504
-5.6,0.39,4.6693
-8.0,0.65,4.674
-5.35,0.23,4.6812
-8.5,0.8,4.6814
-5.4,0.27,4.682
-5.25,0.13,4.685
-5.95,0.53,4.6896
-9.5,1.05,4.6996
-7.5,0.45,4.7232
-7.5,0.9,4.7281
-7.75,0.55,4.7344
-7.75,0.95,4.7411
-5.3,0.19,4.7454
-7.0,0.15,4.7481
-9.75,1.1,4.7497
-7.25,0.85,4.752
-5.45,0.31,4.7616
-8.0,1.0,4.7751
-5.55,0.37,4.7879
-10.0,1.15,4.7898
-8.75,0.85,4.7934
-7.25,0.3,4.8027
-6.0,0.55,4.8145
-6.0,0.55,4.8145
-8.25,1.05,4.8203
-7.0,0.8,4.8369
-8.25,0.7,4.8369
-7.0,0.1,4.8512
-6.2,0.61,4.8563
-6.35,0.65,4.8588
-5.25,0.15,4.8629
-5.25,0.15,4.8629
-8.5,1.1,4.8709
-9.0,0.9,4.8842
-7.5,0.4,4.9102
-8.75,1.15,4.9236
-8.0,0.6,4.927
-5.5,0.35,4.9353
-5.5,0.35,4.9353
-5.35,0.25,4.9379
-7.25,0.25,4.9386
-7.0,0.05,4.9389
-7.75,0.5,4.9513
-9.25,0.95,4.9578
-5.3,0.21,4.9686
-6.05,0.57,4.9686
-8.5,0.75,4.969
-9.0,1.2,4.9764
-5.4,0.29,4.9804
-7.0,0.0,5.0138
-9.5,1.0,5.0172
-6.75,0.75,5.0176
-5.75,0.47,5.0275
-5.7,0.45,5.0282
-9.25,1.25,5.0287
-7.25,0.2,5.0519
-5.8,0.49,5.0588
-5.25,0.17,5.0596
-5.65,0.43,5.0606
-7.5,0.35,5.0646
-9.75,1.05,5.065
-8.75,0.8,5.0761
-9.5,1.3,5.08
-8.25,0.65,5.083
-6.25,0.63,5.088
-10.0,1.1,5.1035
-5.45,0.33,5.1107
-5.85,0.51,5.1219
-5.6,0.41,5.1245
-7.75,0.45,5.1299
-9.75,1.35,5.1305
-8.0,0.55,5.1361
-7.25,0.15,5.1469
-6.1,0.59,5.1513
-9.0,0.85,5.1629
-10.0,1.4,5.1802
-7.5,0.3,5.1922
-8.5,0.7,5.2094
-5.9,0.53,5.2165
-5.3,0.23,5.2166
-5.55,0.39,5.2195
-5.35,0.27,5.2241
-7.25,0.1,5.2271
-9.25,0.9,5.2332
-7.75,0.4,5.2766
-5.25,0.19,5.2771
-8.25,0.6,5.2858
-9.5,0.95,5.29
-7.25,0.05,5.2953
-7.5,0.25,5.298
-8.0,0.5,5.3077
-8.75,0.75,5.3118
-5.4,0.31,5.3134
-9.75,1.0,5.3358
-6.5,0.7,5.3409
-5.95,0.55,5.3421
-5.5,0.37,5.3448
-6.3,0.65,5.345
-7.25,0.0,5.3536
-6.15,0.61,5.3618
-10.0,1.05,5.3727
-7.5,0.2,5.3861
-5.25,0.2,5.3944
-9.0,0.8,5.3948
-7.75,0.35,5.3973
-8.5,0.65,5.4069
-8.0,0.45,5.448
-8.25,0.55,5.4515
-7.5,0.15,5.46
-9.25,0.85,5.462
