Date,equity,cash,rebalanced,rebalance_reason,spy_value,spy_weight,spy_signal,spy_shares,spy_avg_price,spy_realized_pnl,spy_unrealized_pnl,gld_value,gld_weight,gld_signal,gld_shares,gld_avg_price,gld_realized_pnl,gld_unrealized_pnl,tlt_value,tlt_weight,tlt_signal,tlt_shares,tlt_avg_price,tlt_realized_pnl,tlt_unrealized_pnl,drawdown_pct
2012-03-28,18016863,109,False,,11243831,0.6241,buy,102315,100.000755,2810294,1012254,3503798,0.1945,buy,21694,94.522807,2028386,1453220,3269125,0.1814,buy,42435,64.531903,181995,530714,-0.74
2012-03-29,18017196,109,False,,11224623,0.623,buy,102315,100.000755,2810294,993046,3498808,0.1942,buy,21694,94.522807,2028386,1448231,3293655,0.1828,buy,42435,64.531903,181995,555244,-0.74
2012-03-30,18026146,109,False,,11271049,0.6253,buy,102315,100.000755,2810294,1039472,3517031,0.1951,buy,21694,94.522807,2028386,1466453,3237957,0.1796,buy,42435,64.531903,181995,499546,-0.69
2012-04-02,18144317,109,False,,11353492,0.6257,buy,102315,100.000755,2810294,1121915,3534820,0.1948,buy,21694,94.522807,2028386,1484243,3255896,0.1794,buy,42435,64.531903,181995,517485,-0.04
2012-04-03,17963850,110,True,monthly,10840044,0.6034,buy,98089,100.000755,2854567,1031070,3560430,0.1982,buy,22268,96.306488,2028386,1415878,3563266,0.1984,buy,47260,65.833938,181995,451954,-1.04
2012-04-04,17845722,110,False,,10732613,0.6014,buy,98089,100.000755,2854567,923639,3500752,0.1962,buy,22268,96.306488,2028386,1356200,3612247,0.2024,buy,47260,65.833938,181995,500935,-1.69
2012-04-05,17890940,110,False,,10727238,0.5996,buy,98089,100.000755,2854567,918264,3525247,0.197,buy,22268,96.306488,2028386,1380694,3638346,0.2034,buy,47260,65.833938,181995,527034,-1.44
2012-04-09,17879140,110,False,,10606764,0.5932,buy,98089,100.000755,2854567,797790,3548851,0.1985,buy,22268,96.306488,2028386,1404298,3723416,0.2083,buy,47260,65.833938,181995,612104,-1.5
2012-04-10,17781841,110,False,,10428726,0.5865,buy,98089,100.000755,2854567,619752,3587375,0.2017,buy,22268,96.306488,2028386,1442822,3765631,0.2118,buy,47260,65.833938,181995,654319,-2.04
2012-04-11,17820471,110,False,,10513136,0.5899,buy,98089,100.000755,2854567,704162,3586707,0.2013,buy,22268,96.306488,2028386,1442154,3720518,0.2088,buy,47260,65.833938,181995,609206,-1.83
2012-04-12,17978663,110,False,,10650502,0.5924,buy,98089,100.000755,2854567,841528,3623004,0.2015,buy,22268,96.306488,2028386,1478451,3705048,0.2061,buy,47260,65.833938,181995,593736,-0.96
2012-04-13,17870785,110,False,,10523882,0.5889,buy,98089,100.000755,2854567,714908,3581808,0.2004,buy,22268,96.306488,2028386,1437255,3764985,0.2107,buy,47260,65.833938,181995,653673,-1.55
2012-04-16,17849717,110,False,,10516977,0.5892,buy,98089,100.000755,2854567,708003,3573123,0.2002,buy,22268,96.306488,2028386,1428571,3759506,0.2106,buy,47260,65.833938,181995,648195,-1.67
2012-04-17,17998557,110,False,,10672751,0.593,buy,98089,100.000755,2854567,863777,3568447,0.1983,buy,22268,96.306488,2028386,1423894,3757250,0.2088,buy,47260,65.833938,181995,645938,-0.85
2012-04-18,17952520,110,False,,10636688,0.5925,buy,98089,100.000755,2854567,827714,3547515,0.1976,buy,22268,96.306488,2028386,1402962,3768207,0.2099,buy,47260,65.833938,181995,656895,-1.1
2012-04-19,17890440,110,False,,10568391,0.5907,buy,98089,100.000755,2854567,759417,3550187,0.1984,buy,22268,96.306488,2028386,1405634,3771752,0.2108,buy,47260,65.833938,181995,660440,-1.44
2012-04-20,17911186,110,False,,10586042,0.591,buy,98089,100.000755,2854567,777068,3552637,0.1983,buy,22268,96.306488,2028386,1408084,3772397,0.2106,buy,47260,65.833938,181995,661086,-1.33
2012-04-23,17839094,110,False,,10497026,0.5884,buy,98089,100.000755,2854567,688052,3542171,0.1986,buy,22268,96.306488,2028386,1397618,3799787,0.213,buy,47260,65.833938,181995,688475,-1.72
2012-04-24,17857368,110,False,,10536928,0.5901,buy,98089,100.000755,2854567,727953,3547292,0.1986,buy,22268,96.306488,2028386,1402740,3773038,0.2113,buy,47260,65.833938,181995,661726,-1.62
2012-04-25,17989432,110,False,,10681197,0.5937,buy,98089,100.000755,2854567,872223,3554418,0.1976,buy,22268,96.306488,2028386,1409865,3753707,0.2087,buy,47260,65.833938,181995,642395,-0.9
2012-04-26,18117819,110,False,,10755630,0.5936,buy,98089,100.000755,2854567,946656,3585816,0.1979,buy,22268,96.306488,2028386,1441263,3776263,0.2084,buy,47260,65.833938,181995,664951,-0.19
2012-04-27,18146488,110,False,,10773283,0.5937,buy,98089,100.000755,2854567,964309,3593610,0.198,buy,22268,96.306488,2028386,1449057,3779485,0.2083,buy,47260,65.833938,181995,668173,-0.03
2012-04-30,18118683,110,False,,10733377,0.5924,buy,98089,100.000755,2854567,924403,3604744,0.199,buy,22268,96.306488,2028386,1460191,3780452,0.2086,buy,47260,65.833938,181995,669140,-0.18
2012-05-01,18153371,110,False,,10800142,0.5949,buy,98089,100.000755,2854567,991168,3592274,0.1979,buy,22268,96.306488,2028386,1447721,3760846,0.2072,buy,47260,65.833938,181995,649534,0.0
2012-05-02,18131367,110,False,,10767909,0.5939,buy,98089,100.000755,2854567,958935,3576018,0.1972,buy,22268,96.306488,2028386,1431465,3787331,0.2089,buy,47260,65.833938,181995,676019,-0.12
2012-05-03,18012217,110,False,,10685802,0.5933,buy,98089,100.000755,2854567,876828,3539944,0.1965,buy,22268,96.306488,2028386,1395391,3786362,0.2102,buy,47260,65.833938,181995,675050,-0.78
2012-05-04,17880403,110,False,,10513136,0.588,buy,98089,100.000755,2854567,704162,3551078,0.1986,buy,22268,96.306488,2028386,1406525,3816079,0.2134,buy,47260,65.833938,181995,704767,-1.5
