Date,equity,position,buy_buffer_pct,sell_buffer_pct,upper_band,lower_band
2024-06-07,83569289.0,182263,0.03,0.05,419.882658,387.270413
2024-06-10,83906844.0,182263,0.03,0.05,420.422841,387.76864
2024-06-11,84482674.0,182263,0.03,0.05,420.990028,388.291774
2024-06-12,85589206.0,182263,0.03,0.05,421.613793,388.86709
2024-06-13,86053118.0,182263,0.03,0.05,422.257437,389.460743
2024-06-14,86498980.0,182263,0.03,0.05,422.919747,390.071612
2024-06-17,87558573.0,182263,0.03,0.05,423.635049,390.731356
2024-06-18,87585644.0,182263,0.03,0.05,424.344756,391.38594
2024-06-20,86910540.0,182263,0.03,0.05,425.009439,391.998998
2024-06-21,86677678.0,182263,0.03,0.05,425.654415,392.593878
2024-06-24,85690889.0,182263,0.03,0.05,426.237486,393.131661
2024-06-25,86670814.0,182263,0.03,0.05,426.869856,393.714916
2024-06-26,86849795.0,182263,0.03,0.05,427.505998,394.301649
2024-06-27,87073987.0,182263,0.03,0.05,428.148417,394.894171
2024-06-28,86621989.0,182263,0.03,0.05,428.759028,395.457356
2024-07-01,87130043.0,182263,0.03,0.05,429.392131,396.041286
2024-07-02,88044873.0,182263,0.03,0.05,430.070376,396.666852
2024-07-03,88778914.0,182263,0.03,0.05,430.783148,397.324263
2024-07-05,89704591.0,182263,0.03,0.05,431.540879,398.023141
2024-07-08,89917930.0,182263,0.03,0.05,432.303067,398.726129
2024-07-09,89995673.0,182263,0.03,0.05,433.062042,399.426155
2024-07-10,90934004.0,182263,0.03,0.05,433.866228,400.16788
2024-07-11,88939813.0,182263,0.03,0.05,434.550278,400.7988
2024-07-12,89462328.0,182263,0.03,0.05,435.256902,401.450541
2024-07-15,89702778.0,182263,0.03,0.05,435.970016,402.108267
2024-07-16,89737130.0,182263,0.03,0.05,436.677966,402.761231
2024-07-17,87102915.0,182263,0.03,0.05,437.230749,403.271079
2024-07-18,86690693.0,182263,0.03,0.05,437.754851,403.754474
2024-07-19,85922311.0,182263,0.03,0.05,438.230532,404.193209
2024-07-22,87202351.0,182263,0.03,0.05,438.773457,404.693966
2024-07-23,86895000.0,182263,0.03,0.05,439.293698,405.173799
2024-07-24,83778056.0,182263,0.03,0.05,439.633494,405.487203
2024-07-25,82854182.0,182263,0.03,0.05,439.91796,405.749574
2024-07-26,83703923.0,182263,0.03,0.05,440.247376,406.053405
2024-07-29,83872069.0,182263,0.03,0.05,440.582969,406.362933
2024-07-30,82720394.0,182263,0.03,0.05,440.850464,406.609651
2024-07-31,85168390.0,182263,0.03,0.05,441.25295,406.980876
2024-08-01,83105489.0,182263,0.03,0.05,441.535432,407.241418
2024-08-02,81132990.0,182263,0.03,0.05,441.704189,407.397067
2024-08-05,78713923.0,182263,0.03,0.05,441.735241,407.425708
2024-08-06,79466041.0,182263,0.03,0.05,441.808276,407.49307
2024-08-07,78605443.0,182263,0.03,0.05,441.832193,407.515129
2024-08-08,81010048.0,182263,0.03,0.05,441.991084,407.661679
2024-08-09,81433111.0,182263,0.03,0.05,442.172183,407.828712
2024-08-12,81608483.0,182263,0.03,0.05,442.361341,408.003179
2024-08-13,83633405.0,182263,0.03,0.05,442.66248,408.280928
2024-08-14,83660538.0,182263,0.03,0.05,442.962148,408.557321
2024-08-15,85774061.0,182263,0.03,0.05,443.377679,408.940578
2024-08-16,85884349.0,182263,0.03,0.05,443.795277,409.325741
2024-08-19,87012507.0,182263,0.03,0.05,444.272156,409.765581
2024-08-20,86829916.0,182263,0.03,0.05,444.734024,410.191575
2024-08-21,87234896.0,182263,0.03,0.05,445.214068,410.634334
2024-08-22,85851799.0,182263,0.03,0.05,445.611563,411.000956
2024-08-23,86782910.0,182263,0.03,0.05,446.057459,411.41222
2024-08-26,85940394.0,182263,0.03,0.05,446.451544,411.775696
2024-08-27,86197124.0,182263,0.03,0.05,446.856144,412.148871
2024-08-28,85219006.0,182263,0.03,0.05,447.201717,412.467603
2024-08-29,85094263.0,182263,0.03,0.05,447.536838,412.776695
2024-08-30,86108534.0,182263,0.03,0.05,447.925657,413.135315
2024-09-03,83494199.0,182263,0.03,0.05,448.163602,413.354779
2024-09-04,83277234.0,182263,0.03,0.05,448.386979,413.560806
2024-09-05,83354993.0,182263,0.03,0.05,448.612506,413.768816
2024-09-06,81122144.0,182263,0.03,0.05,448.710234,413.858954
2024-09-09,82165345.0,182263,0.03,0.05,448.86565,414.002299
2024-09-10,82924694.0,182263,0.03,0.05,449.062218,414.183599
2024-09-11,84725431.0,182263,0.03,0.05,449.358087,414.456488
2024-09-12,85557101.0,182263,0.03,0.05,449.697777,414.769794
2024-09-13,85940394.0,182263,0.03,0.05,450.05564,415.099862
2024-09-16,85560711.0,182263,0.03,0.05,450.388592,415.406953
2024-09-17,85605915.0,182263,0.03,0.05,450.720773,415.713334
2024-09-18,85235282.0,182263,0.03,0.05,451.028807,415.997444
2024-09-19,87390377.0,182263,0.03,0.05,451.454959,416.390497
2024-09-20,87224044.0,182263,0.03,0.05,451.867518,416.771012
2024-09-23,87455255.0,182263,0.03,0.05,452.288973,417.159732
2024-09-24,87877099.0,182263,0.03,0.05,452.729955,417.566463
2024-09-25,87958575.0,182263,0.03,0.05,453.17113,417.973372
2024-09-26,88619417.0,182263,0.03,0.05,453.645075,418.410506
2024-09-27,88126955.0,182263,0.03,0.05,454.086613,418.81775
2024-09-30,88365947.0,182263,0.03,0.05,454.537196,419.233336
2024-10-01,87134787.0,182263,0.03,0.05,454.914067,419.580935
2024-10-02,87257907.0,182263,0.03,0.05,455.29411,419.931461
2024-10-03,87192729.0,182263,0.03,0.05,455.666708,420.275119
2024-10-04,88230151.0,182263,0.03,0.05,456.093933,420.669161
2024-10-07,87285062.0,182263,0.03,0.05,456.463763,421.010267
2024-10-08,88588636.0,182263,0.03,0.05,456.903215,421.415587
2024-10-09,89285683.0,182263,0.03,0.05,457.377489,421.853024
2024-10-10,89184289.0,182263,0.03,0.05,457.841343,422.280851
2024-10-11,89323706.0,182263,0.03,0.05,458.308421,422.711651
2024-10-14,90073250.0,182263,0.03,0.05,458.812999,423.177038
2024-10-15,88869261.0,182263,0.03,0.05,459.244855,423.575351
2024-10-16,88880124.0,182263,0.03,0.05,459.673024,423.970265
2024-10-17,88941682.0,182263,0.03,0.05,460.100395,424.364442
2024-10-18,89524664.0,182263,0.03,0.05,460.556295,424.784932
2024-10-21,89696665.0,182263,0.03,0.05,461.01733,425.210159
2024-10-22,89794438.0,182263,0.03,0.05,461.479275,425.636225
2024-10-23,88418438.0,182263,0.03,0.05,461.859251,425.986688
2024-10-24,89135414.0,182263,0.03,0.05,462.275762,426.370848
2024-10-25,89678571.0,182263,0.03,0.05,462.718671,426.779356
2024-10-28,89693044.0,182263,0.03,0.05,463.157986,427.18455
2024-10-29,90554855.0,182263,0.03,0.05,463.64139,427.630408
2024-10-30,89870479.0,182263,0.03,0.05,464.081501,428.036336
2024-10-31,87601903.0,182263,0.03,0.05,464.38967,428.320569
2024-11-01,88250063.0,182263,0.03,0.05,464.731219,428.63559
2024-11-04,87992977.0,182263,0.03,0.05,465.054913,428.934143
2024-11-05,89115496.0,182263,0.03,0.05,465.438506,429.287943
2024-11-06,91536143.0,182263,0.03,0.05,465.954397,429.763764
2024-11-07,92977310.0,182263,0.03,0.05,466.546192,430.309595
2024-11-08,93085957.0,182263,0.03,0.05,467.138208,430.855629
