Date,equity,active_tranches,avg_entry_price,ma250_equity,ma250_position,ma200_equity,ma200_position,ma150_equity,ma150_position,drawdown_pct
2014-05-06,40017065,3,0.38885905035242235,6950184,5932099,16207877,13833696,16859005,14389445,-28.29
2014-05-07,39657206,3,0.38885905035242235,6887683,5932099,16062125,13833696,16707398,14389445,-28.94
2014-05-08,39521370,3,0.38885905035242235,6864091,5932099,16007108,13833696,16650171,14389445,-29.18
2014-05-09,39983149,3,0.38885905035242235,6944293,5932099,16194140,13833696,16844716,14389445,-28.35
2014-05-12,41932047,3,0.38885905035242235,7282779,5932099,16983490,13833696,17665778,14389445,-24.86
2014-05-13,42020339,3,0.38885905035242235,7298113,5932099,17019251,13833696,17702975,14389445,-24.7
2014-05-14,41395571,3,0.38885905035242235,7189603,5932099,16766205,13833696,17439763,14389445,-25.82
2014-05-15,40438097,3,0.38885905035242235,7023309,5932099,16378405,13833696,17036384,14389445,-27.54
2014-05-16,41191869,3,0.38885905035242235,7154224,5932099,16683700,13833696,17353944,14389445,-26.19
2014-05-19,42074645,3,0.38885905035242235,7307545,5932099,17041246,13833696,17725854,14389445,-24.6
2014-05-20,41612867,3,0.38885905035242235,7227343,5932099,16854215,13833696,17531309,14389445,-25.43
2014-05-21,42787636,3,0.38885905035242235,7431378,5932099,17330025,13833696,18026233,14389445,-23.33
2014-05-22,43317316,3,0.38885905035242235,7523373,5932099,17544558,13833696,18249385,14389445,-22.38
2014-05-23,44288383,3,0.38885905035242235,7692029,5932099,17937863,13833696,18658491,14389445,-20.64
2014-05-27,45952085,3,0.38885905035242235,7980981,5932099,18611703,13833696,19359401,14389445,-17.66
2014-05-28,45517459,3,0.38885905035242235,7905495,5932099,18435669,13833696,19176295,14389445,-18.43
2014-05-29,46441017,3,0.38885905035242235,8065899,5932099,18809732,13833696,19565386,14389445,-16.78
2014-05-30,46400270,3,0.38885905035242235,8058822,5932099,18793228,13833696,19548219,14389445,-16.85
2014-06-02,46284825,3,0.38885905035242235,8038772,5932099,18746471,13833696,19499583,14389445,-17.06
2014-06-03,46216925,3,0.38885905035242235,8026979,5932099,18718969,13833696,19470977,14389445,-17.18
2014-06-04,46705857,3,0.38885905035242235,8111897,5932099,18916999,13833696,19676962,14389445,-16.3
2014-06-05,47921339,3,0.38885905035242235,8323002,5932099,19409298,13833696,20189039,14389445,-14.13
2014-06-06,48695468,3,0.38885905035242235,8457453,5932099,19722839,13833696,20515176,14389445,-12.74
2014-06-09,48607211,3,0.38885905035242235,8442125,5932099,19687093,13833696,20477993,14389445,-12.9
2014-06-10,48885644,3,0.38885905035242235,8490483,5932099,19799865,13833696,20595296,14389445,-12.4
2014-06-11,48810913,3,0.38885905035242235,8477504,5932099,19769597,13833696,20563812,14389445,-12.53
